"DATE","PTFTL","AT","BE","BG","CZ","DK_1","DK_2","FI","FR","DE_LU","GR","IE_SEM","IT_CNOR","NL","PL","PT","RO","ES","SE_1","SE_2","SE_3","SE_4","DEMAND","WIND","RIVER","NGASSTOCK","TTF","USDTL"
2019-02-12,229.997083333333,48.2154166666667,51.325,86.17375,45.78125,46.1995833333333,48.5329166666667,48.97375,51.16375,46.6041666666667,66.5383333333333,56.2591666666667,59.3529166666667,49.3783333333333,217.579583333333,60.6666666666667,233.94125,60.6154166666667,46.6408333333333,46.6408333333333,48.1616666666667,48.8591666666667,35679.1666666667,4164.66666666667,3295.04166666667,357855604,17.785,5.2556
2019-02-13,264.075416666667,47.25625,49.415,89.1491666666667,47.115,44.53125,44.76625,48.2383333333333,49.8679166666667,45.6583333333333,67.58625,48.2645833333333,55.5108333333333,47.3425,209.515,61.50875,246.261666666667,61.3716666666667,45.18375,45.18375,45.5275,45.7204166666667,35712.5,4093.91666666667,3220.33333333333,347050145,18.02,5.2638
2019-02-14,264.990416666667,49.54125,50.56625,86.7195833333333,50.0533333333333,47.4520833333333,48.6,46.8358333333333,50.4566666666667,49.2158333333333,64.73,53.3029166666667,57.7525,49.4304166666667,230.941666666667,55.90125,246.362916666667,55.90125,43.8358333333333,43.8358333333333,44.8004166666667,47.4058333333333,34325,5159.625,3259.83333333333,352105285,17.755,5.2429
2019-02-15,262.544583333333,48.5920833333333,48.3375,73.7979166666667,46.3104166666667,45.0545833333333,46.1025,44.1058333333333,49.07375,47.27125,66.1116666666667,50.5941666666667,55.9841666666667,47.2858333333333,238.751666666667,55.7408333333333,226.800416666667,55.7408333333333,43.3608333333333,43.3608333333333,43.5441666666667,45.8708333333333,35233.3333333333,4695.83333333333,3276.54166666667,354879285,18.1,5.2867
2019-02-16,255.3525,43.12,44.51875,81.9179166666667,42.4345833333333,38.3745833333333,38.4241666666667,39.7175,43.7629166666667,39.2258333333333,67.4054166666667,50.2320833333333,52.8233333333333,43.9266666666667,200.263333333333,51.2216666666667,226.5725,50.6008333333333,39.7175,39.7175,39.7175,39.7175,33887.5,4338.95833333333,3069.91666666667,365550247,18.1,5.2601
2019-02-17,227.825,39.475,39.4841666666667,68.7079166666667,38.77875,41.4091666666667,41.8441666666667,41.6375,39.4933333333333,39.21125,69.83375,29.6854166666667,51.5541666666667,39.5029166666667,183.5575,48.5429166666667,200.95875,47.27375,41.5995833333333,41.5995833333333,41.5995833333333,41.6375,30137.5,2057.45833333333,3019.125,372721173,18.1,5.2601
2019-02-18,279.67,47.8279166666667,46.655,87.53375,47.20625,44.1179166666667,45.2516666666667,43.7933333333333,46.88875,46.25875,73.6204166666667,55.7945833333333,61.6820833333333,46.2958333333333,234.789166666667,56.5675,243.7075,56.5675,43.5233333333333,43.5233333333333,43.5395833333333,45.31125,33541.6666666667,1172.20833333333,2962.5,371820457,18.1,5.2601
2019-02-19,282.69875,46.08125,45.4125,82.0483333333333,46.1795833333333,40.1570833333333,41.6166666666667,42.7754166666667,47.15125,41.27875,75.3008333333333,54.1220833333333,58.3945833333333,43.4633333333333,208.6825,58.9233333333333,219.757083333333,58.9233333333333,41.54,41.54,41.54,41.6166666666667,35929.1666666667,1246.25,2932.66666666667,366462062,17.705,5.2922
2019-02-20,280.40875,46.845,47.16375,78.84,43.6654166666667,44.9058333333333,45.54875,42.7754166666667,47.4883333333333,45.6804166666667,73.4829166666667,41.3983333333333,58.5454166666667,45.1095833333333,202.415,57.4625,244.752916666667,57.4625,42.6691666666667,42.6691666666667,42.7754166666667,42.7754166666667,35895.8333333333,400.291666666667,2953.5,366543772,18.145,5.3052
2019-02-21,273.817083333333,46.0316666666667,46.735,91.84125,46.0058333333333,43.8545833333333,43.8866666666667,47.8954166666667,46.7916666666667,43.41375,75.6675,49.0641666666667,61.0066666666667,43.34625,215.235416666667,54.78625,243.156666666667,54.62625,43.7895833333333,43.7895833333333,44.3158333333333,44.6670833333333,33900,782.708333333333,2847.625,368217702,17.52,5.2964
